column_name,data_type,description,unit,role,allowed_values,nullable,generation_logic
shipment_id,string,Unique alphanumeric tracking identifier for each shipment,None,identifier,SHP00000001 to SHP99999999,false,Zero-padded sequential identifier
order_date,datetime,Timestamp when customer placed the order,YYYY-MM-DD HH:MM:SS,feature,Configurable date range (2023-01-01 to 2025-12-31),false,Uniform stochastic sample across configured date interval
pickup_datetime,datetime,Timestamp when carrier picked up the package from origin facility,YYYY-MM-DD HH:MM:SS,feature,"order_date + [30 mins, 8 hours]",false,order_date plus warehouse intake lag
estimated_dispatch_datetime,datetime,Target dispatch milestone scheduled by facility SLA,YYYY-MM-DD HH:MM:SS,feature,"pickup_datetime + [4, 14] hours",false,SLA dispatch commitment
actual_dispatch_datetime,datetime,Timestamp when package physically departed origin warehouse,YYYY-MM-DD HH:MM:SS,feature,pickup_datetime + warehouse_processing + loading_time,false,pickup_datetime plus processing and loading duration
delivery_datetime,datetime,Timestamp when package was successfully delivered to consignee,YYYY-MM-DD HH:MM:SS,feature / metadata,actual_dispatch_datetime + transit_hours + handling,false,Physical transit arrival milestone
day_of_week,string,Day of week when order was initiated,None,feature,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",false,Extracted from order_date
month,integer,Calendar month of order,1 to 12,feature,1 to 12,false,Extracted from order_date
quarter,integer,Financial / calendar quarter of order,1 to 4,feature,1 to 4,false,Extracted from order_date
is_weekend,integer,Binary indicator if order was placed on Saturday or Sunday,"Binary [0, 1]",feature,"0, 1",false,Derived from order_date day of week
is_holiday,integer,Binary indicator if order date falls within a major Indian holiday window,"Binary [0, 1]",feature,"0, 1",false,"Matched against Indian holiday calendar (Diwali, Holi, Dussehra, etc.)"
holiday_name,string,Name of the national/cultural holiday if applicable,None,feature,"Diwali Festival Week, Holi, Dussehra, Republic Day, Independence Day, etc.",true,Lookup from Indian holiday schedule; null for standard non-holiday days
package_weight_kg,float,Gross chargeable weight of shipment in kilograms,kg,feature,0.15 to 120.0,false,Log-normal distribution adjusted by product category density factor
package_volume_cm3,float,External cubic dimension volume of package in cubic centimeters,cm³,feature,500.0 to 850000.0,false,"Correlated with weight, item count, and category bulkiness"
package_count,integer,Total number of individual items/cartons in consignment,count,feature,1 to 8,false,"Categorical discrete distribution (mostly 1, long tail up to 8)"
product_category,string,Merchandise classification,None,feature,"Electronics, Apparel, Home & Kitchen, Healthcare, Automotive Parts, Books & Media, Groceries & FMCG, Industrial Equipment",false,Market-calibrated categorical distribution
priority_level,string,Consignment priority tier specified by customer or shipper,None,feature,"Low, Medium, High, Critical",false,Categorical distribution calibrated to e-commerce/freight tiers
shipment_value_inr,float,Declared commercial invoice value in Indian Rupees (INR),INR (₹),feature,150.0 to 350000.0,false,Log-normal distribution conditioned on product category median
origin_city,string,Dispatch logistics hub city name,None,feature,"28 major Indian commercial hubs (Mumbai, Delhi, Bengaluru, Pune, etc.)",false,Weighted sampling reflecting metro freight outbound generation
origin_state,string,State or Union Territory of dispatch hub,None,feature,"Maharashtra, Delhi, Karnataka, Telangana, Tamil Nadu, etc.",false,Deterministic lookup from origin_city
origin_latitude,float,Geographic latitude coordinate of dispatch hub,Degrees North,feature,8.0 to 37.0,false,Deterministic lookup from city registry
